Bin_Type,Position,J1,J2,J3,J4,J5,J6
Bin A,0,-0.17,-7.03,0.79,3.07,-89.03,14.23
Bin A,1,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin A,2,15.99,-50.71,-120.76,87.01,5.18,14.32
Bin A,3,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin A,4,68.2,-30.05,-114.96,67.41,2.98,14.23
Bin A,5,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin A,6,-0.17,-7.03,0.79,3.07,-89.03,14.23
Bin B,0,-0.17,-7.03,0.79,3.07,-89.03,14.23
Bin B,1,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin B,2,110.47,-143.43,141.32,-85.95,7.47,-0.17
Bin B,3,-15.55,-103.53,43.59,-10.45,-0.17,-7.55
Bin B,4,104.5,26.45,-105.11,3.51,5.53,14.5
Bin B,5,107.66,-15.64,-111.7,30.67,5.97,14.23
Bin B,6,104.5,26.45,-105.11,3.51,5.53,14.5
Bin B,7,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin B,8,-0.17,-7.03,0.79,3.07,-89.03,14.23
Bin C,0,-0.17,-7.03,0.79,3.07,-89.03,14.23
Bin C,1,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin C,2,15.99,-50.71,-120.76,87.01,5.18,14.32
Bin C,3,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin C,4,-18.36,-71.98,-26.89,25.22,-1.75,14.15
Bin C,5,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin C,6,-0.17,-7.03,0.79,3.07,-89.03,14.23
Bin D,0,-0.17,-7.03,0.79,3.07,-89.03,14.23
Bin D,1,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin D,2,15.99,-50.71,-120.76,87.01,5.18,14.32
Bin D,3,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin D,4,-34.27,-24.34,-105.82,43.41,2.28,13.88
Bin D,5,8.61,-11.6,-112.58,50.97,3.07,14.23
Bin D,6,-0.17,-7.03,0.79,3.07,-89.03,14.23
